date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:02:57	22282/22282	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/smoothscroll/smooth-scroll.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/smoothscroll/smooth-scroll.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:02:58	9705/9705	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/dropdown/js/script.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/dropdown/js/script.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:03:00	20425/20425	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/touch-swipe/jquery.touch-swipe.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/touch-swipe/jquery.touch-swipe.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:03:01	9978/9978	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/parallax/jarallax.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/parallax/jarallax.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:03:02	33868/33868	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2016:16:20%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/theme/js/script.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/theme/js/script.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:03:02	6285/6285	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/formoid/formoid.min.js	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/formoid/formoid.min.js	(from https://mobirise.com/extensions/businessm4/travel-agency/)
15:03:05	51628/51628	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.eot?spat4u	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons0e1c.eot	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.css)
15:03:07	51464/51464	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.ttf?spat4u	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons0e1c.ttf	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.css)
15:03:09	206378/206378	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.svg?spat4u	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons0e1c.svg	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.css)
15:03:10	51540/51540	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.woff?spat4u	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons0e1c.woff	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/web/assets/mobirise-icons/mobirise-icons.css)
15:03:11	52592/52592	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.eot	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.eot	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/css/styles.css)
15:03:14	52592/52592	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.eot?	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicond41d.eot	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/css/styles.css)
15:03:17	52428/52428	---MCZ	200	added ('OK')	font/ttf	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.ttf	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.ttf	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/css/styles.css)
15:03:18	38700/38700	---M--	200	added ('OK')	font/woff	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.woff	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.woff	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/css/styles.css)
15:03:18	131472/131472	---MCZ	200	added ('OK')	image/svg+xml	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.svg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/socicon/fonts/socicon.svg	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/socicon/css/styles.css)
15:03:19	206149/206149	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/images/artiom-vallat-558027-unsplash-1519757244-94.181.200.62-1920x1280.jpg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/images/artiom-vallat-558027-unsplash-1519757244-94.181.200.62-1920x1280.jpg	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/mobirise/css/mbr-additional.css)
15:03:22	155284/155284	---M--	200	added ('OK')	image/jpeg	date:Thu,%2001%20Mar%202018%2015:59:14%20GMT	https://mobirise.com/extensions/businessm4/travel-agency/assets/images/background6-1920x1280.jpg	C:/My%20Web%20Sites/task/mobirise.com/extensions/businessm4/travel-agency/assets/images/background6-1920x1280.jpg	(from https://mobirise.com/extensions/businessm4/travel-agency/assets/mobirise/css/mbr-additional.css)
